id logP	country	t	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	logQ	logV
1	0.85132361201899	G	1	1	0	0	0	0	0	0	0	0	0	0	6.924010366	5.89457351444005
2	0.86322384621727	G	2	0	1	0	0	0	0	0	0	0	0	0	6.828337696	5.89438392921149
3	0.87681281153683	G	3	0	0	1	0	0	0	0	0	0	0	0	6.742066646	5.91153041144795
4	0.999316415251639	G	4	0	0	0	1	0	0	0	0	0	0	0	6.85340256	6.84871767853561
5	0.979168693394826	G	5	0	0	0	0	1	0	0	0	0	0	0	6.775354974	6.63421547717772
6	0.911423184095309	G	6	0	0	0	0	0	1	0	0	0	0	0	6.750826018	6.15285934459902
7	0.997443258941782	G	7	0	0	0	0	0	0	1	0	0	0	0	6.943266669	6.92551453402921
8	0.947953788643749	G	8	0	0	0	0	0	0	0	1	0	0	0	7.006674308	6.64200345606142
9	1.02602645691471	G	9	0	0	0	0	0	0	0	0	1	0	0	7.02533604	7.20818064575643
10	1.09865558693203	G	10	0	0	0	0	0	0	0	0	0	1	0	7.001390009	7.69211624967795
11	1.10329669175831	G	11	0	0	0	0	0	0	0	0	0	0	1	7.019417649	7.74450027021161
12	1.09378172463319	G	12	0	0	0	0	0	0	0	0	0	0	0	6.964296909	7.61742068398358
13	1.09199237145928	G	13	1	0	0	0	0	0	0	0	0	0	0	6.962912628	7.60344747291348
14	1.10933059368226	G	14	0	1	0	0	0	0	0	0	0	0	0	6.832794694	7.57982819440401
15	1.1084447609429	G	15	0	0	1	0	0	0	0	0	0	0	0	6.889404637	7.63652447589836
16	1.22802015332323	G	16	0	0	0	1	0	0	0	0	0	0	0	6.802525615	8.35363854871751
17	1.21286447766969	G	17	0	0	0	0	1	0	0	0	0	0	0	6.836729784	8.29202669843998
18	1.1601960301103	G	18	0	0	0	0	0	1	0	0	0	0	0	6.79542263	7.88402235824768
19	1.21199870763184	G	19	0	0	0	0	0	0	1	0	0	0	0	6.93241718	8.40208066292475
20	1.19352460474714	G	20	0	0	0	0	0	0	0	1	0	0	0	6.88386226	8.21605898300027
21	1.26817505334895	G	21	0	0	0	0	0	0	0	0	1	0	0	6.88889953	8.73633052897329
22	1.33514405385843	G	22	0	0	0	0	0	0	0	0	0	1	0	6.870212934	9.17272394757138
23	1.34773157238641	G	23	0	0	0	0	0	0	0	0	0	0	1	6.886196239	9.28074408494884
24	1.33182986456751	G	24	0	0	0	0	0	0	0	0	0	0	0	6.7621524	9.00603651507688
25	1.33708572532704	G	25	1	0	0	0	0	0	0	0	0	0	0	6.789691788	9.07839996910505
26	1.33535658668681	G	26	0	1	0	0	0	0	0	0	0	0	0	6.693560614	8.9382902542923
27	1.33847575335113	G	27	0	0	1	0	0	0	0	0	0	0	0	6.71999761	8.99455386356256
28	1.4731097263118	G	28	0	0	0	1	0	0	0	0	0	0	0	6.674846804	9.83278174861364
29	1.43771914474757	G	29	0	0	0	0	1	0	0	0	0	0	0	6.763773922	9.72440725840378
30	1.40563391927817	G	30	0	0	0	0	0	1	0	0	0	0	0	6.691761667	9.40616717886064
31	1.45831274262609	G	31	0	0	0	0	0	0	1	0	0	0	0	6.519832042	9.50795414663046
32	1.43202219892413	G	32	0	0	0	0	0	0	0	1	0	0	0	6.868084053	9.83524882797281
33	1.50787396026708	G	33	0	0	0	0	0	0	0	0	1	0	0	6.938158134	10.4618679824739
34	1.57194471340376	G	34	0	0	0	0	0	0	0	0	0	1	0	6.684269371	10.5073019007101
35	1.59036295033314	G	35	0	0	0	0	0	0	0	0	0	0	1	6.987723846	11.1130171118378
36	1.57258507190933	G	36	0	0	0	0	0	0	0	0	0	0	0	6.764921534	10.6384146170063
37	1.56724024202428	G	37	1	0	0	0	0	0	0	0	0	0	0	6.724996791	10.5396855983393
38	1.57704479909144	G	38	0	1	0	0	0	0	0	0	0	0	0	6.892181301	10.8692786751373
39	1.57519032034097	G	39	0	0	1	0	0	0	0	0	0	0	0	6.669175106	10.5052200716301
40	1.71254390501704	G	40	0	0	0	1	0	0	0	0	0	0	0	6.673754651	11.4290978511492
41	1.69002121996669	G	41	0	0	0	0	1	0	0	0	0	0	0	6.835358786	11.5519013944257
42	1.6307494159121	G	42	0	0	0	0	0	1	0	0	0	0	0	6.661014216	10.8624450421242
43	1.70079415843658	G	43	0	0	0	0	0	0	1	0	0	0	0	6.757525548	11.4931599775244
44	1.66824930824756	G	44	0	0	0	0	0	0	0	1	0	0	0	6.837765553	11.4070976537513
45	1.73256641046796	G	45	0	0	0	0	0	0	0	0	1	0	0	6.878449676	11.9173708647318
46	1.80807864153717	G	46	0	0	0	0	0	0	0	0	0	1	0	6.798715493	12.2926122727811
47	1.81640367006555	G	47	0	0	0	0	0	0	0	0	0	0	1	7.007498932	12.7284467780652
48	1.81762342914997	G	48	0	0	0	0	0	0	0	0	0	0	0	6.80305863	12.3653987557689
49	1.80897092060791	G	49	1	0	0	0	0	0	0	0	0	0	0	6.943020768	12.5597226704888
